"name","role","country","team","price"
"Virat Kohli","Batsman","India","Royal Challengers Bangalore","17.0"
"Rohit Sharma","Batsman","India","Mumbai Indians","16.0"
"Jasprit Bumrah","Bowler","India","Mumbai Indians","12.0"
"MS Dhoni","Wicket-keeper","India","Chennai Super Kings","15.0"
"Rashid Khan","All-rounder","Afghanistan","Gujarat Titans","9.0"
